2024-09-16 13:21:25 DEBUG config.ConfigKt - Cargando configuración DataBaseManager
2024-09-16 13:21:25 DEBUG config.ConfigKt - Configuración cargada correctamente
2024-09-16 13:21:25 DEBUG database.SqlDeLightManagerKt - Inicializando el gestor de Bases de Datos con SQLDelight
2024-09-16 13:21:25 DEBUG database.SqlDeLightManagerKt - Borrando tablas si existen
2024-09-16 13:21:25 DEBUG database.SqlDeLightManagerKt - Creando tablas
2024-09-16 13:21:25 DEBUG t.servicies.TenistasServiceImplKt - Cargando tenistas desde CSV
2024-09-16 13:21:25 DEBUG t.storage.TenistaStorageCSVKt - Carganado tenistas desde fichero Csv
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=47, nombre=Sam Querrey, pais=Estados Unidos, altura=198, peso=95, puntos=1150, mano=DIESTRO, fechaNacimiento=1987-10-07, created_at=2024-09-16T13:21:25.9043570, updated_at=2024-09-16T13:21:25.9043570)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=48, nombre=Jeremy Chardy, pais=Francia, altura=188, peso=75, puntos=1100, mano=DIESTRO, fechaNacimiento=1987-02-12, created_at=2024-09-16T13:21:25.9043570, updated_at=2024-09-16T13:21:25.9043570)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=49, nombre=Steve Johnson, pais=Estados Unidos, altura=188, peso=86, puntos=1050, mano=DIESTRO, fechaNacimiento=1989-12-24, created_at=2024-09-16T13:21:25.9043570, updated_at=2024-09-16T13:21:25.9043570)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=50, nombre=Guido Pella, pais=Argentina, altura=183, peso=83, puntos=1000, mano=ZURDO, fechaNacimiento=1990-05-17, created_at=2024-09-16T13:21:25.9043570, updated_at=2024-09-16T13:21:25.9043570)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=51, nombre=Andreas Seppi, pais=Italia, altura=191, peso=75, puntos=950, mano=DIESTRO, fechaNacimiento=1984-02-21, created_at=2024-09-16T13:21:25.9043570, updated_at=2024-09-16T13:21:25.9043570)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=52, nombre=John Millman, pais=Australia, altura=183, peso=79, puntos=900, mano=DIESTRO, fechaNacimiento=1989-06-14, created_at=2024-09-16T13:21:25.9043570, updated_at=2024-09-16T13:21:25.9043570)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=53, nombre=Kevin Anderson, pais=Suráfrica, altura=203, peso=93, puntos=850, mano=DIESTRO, fechaNacimiento=1986-05-18, created_at=2024-09-16T13:21:25.9055538, updated_at=2024-09-16T13:21:25.9055538)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=54, nombre=Albert Ramos, pais=España, altura=188, peso=80, puntos=800, mano=ZURDO, fechaNacimiento=1988-01-17, created_at=2024-09-16T13:21:25.9055538, updated_at=2024-09-16T13:21:25.9055538)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=55, nombre=Aljaz Bedene, pais=Eslovenia, altura=183, peso=75, puntos=750, mano=DIESTRO, fechaNacimiento=1989-07-18, created_at=2024-09-16T13:21:25.9055538, updated_at=2024-09-16T13:21:25.9055538)
2024-09-16 13:21:26 DEBUG t.r.TenistasRepositoryImplKt - Guardando tenista: Tenista(id=56, nombre=Joao Sousa, pais=Portugal, altura=183, peso=74, puntos=700, mano=DIESTRO, fechaNacimiento=1989-03-30, created_at=2024-09-16T13:21:25.9055538, updated_at=2024-09-16T13:21:25.9055538)
